dNdx,percent_deltas,track_length
205.956,0,1.07304
204.973,0,1.13186
229.223,0,1.06447
103.998,0,3.72123
233.904,0,0.637012
177.931,0,1.64109
120.11,0,2.93064
169.244,0,1.2349
111.71,0,2.28269
98.8419,0,2.90363
426.681,0,0.349207
123.78,0,2.95687
181.07,0,0.911252
117.768,0.334448,2.53888
140.825,0,2.56347
128.867,0,1.75374
113.87,0,2.98587
104.295,0,2.43541
108.1,0,2.46067
213.593,0,0.833361
120.673,0,2.80096
334.585,0,0.448317
124.802,0,2.50798
139.667,0,0.594269
151.861,0,1.19188
933.276,0,0.112507
149.419,0,1.31175
116.238,0,3.03686
362.502,0,0.399997
236.356,0,0.719254
173.344,0,1.10762
112.649,0,3.79941
144.903,0,2.31189
136.171,0,2.73921
425.725,0,0.28657
133.701,0.271739,2.75241
119.121,0,2.87941
127.443,0,2.7777
140.519,0,2.14917
130.93,0,2.20729
159.46,0,1.27305
130.571,0,1.83041
129.952,0,2.76256
148.696,0,1.71491
158.937,0,1.52891
199.15,0,1.26538
201.803,0,0.941512
132.299,0,0.120938
126.011,0,3.46001
983.783,0,0.0975825
136.024,0,2.948
93.5483,0,3.42069
107.097,0,2.26898
121.347,0,1.33502
131.505,0,1.90107
97.0868,0,4.15092
132.26,0,2.66899
36.2402,0,3.09049
1853.22,0,0.0415492
105.377,0,1.1957
152.206,0.458716,1.43227
141.009,0,1.78002
160.524,0,1.34559
149.347,0,1.96188
126.566,0,2.2676
5748.41,0,0.0161784
130.717,0,1.98138
198.897,0,0.930131
119.508,0,3.27175
197.603,0,0.85525
126.579,0,2.44116
131.631,0,1.87646
120.164,0,3.74489
162.737,0,1.3826
112.034,0,1.54418
208.193,0,0.773321
199.553,0,1.06237
3211.55,0,0.0862512
16948.8,0,0.00749315
125.896,0.230947,3.43936
337.604,0,0.361371
121.82,0,3.28354
248.161,0,0.749514
152.383,0,1.71935
139.147,0,2.51533
98.5594,0,1.88719
224.352,0,0.967232
160.408,0,1.34657
118.917,0,2.43868
159.221,0.588235,1.0677
122.015,0,3.32745
185.674,0,1.27643
135.87,0,1.75167
1020.83,0,0.12147
107.966,0,3.56594
98.6711,0,3.98293
205.405,0,0.959082
118.482,0,3.13971
132.724,0.406504,1.85347
104.695,0,3.85883
136.971,0,1.76679
144.615,0,1.47979
126.629,0,2.17959
109.116,0,2.52026
109.068,0,2.55804
240.227,0,1.14059
118.375,0,3.52269
101.672,0.387597,2.53757
180.916,0,1.01152
160.166,0,1.64204
125.033,0,2.2394
112.419,0,3.24678
2487.07,0,0.0627243
164.861,0,1.14035
134.517,0,2.39374
111.473,0,3.72288
137.325,0,1.2161
223.374,0,0.78344
102.694,0,3.91452
127.393,0,2.74741
171.741,0,1.47897
138.609,0,2.04172
108.742,0,3.49449
228.77,0,0.642566
151.852,0,1.04049
592.731,0,0.227759
365.737,0,0.355447
186.497,0,0.589822
1192.48,0,0.092245
138.62,0,2.09926
644.899,0,0.17212
182.666,0,1.51095
126.348,0,2.58017
494.117,0,0.384524
175.533,0,1.15648
132.822,0,2.26618
152.973,0,1.60813
111.546,0.211416,4.2404
102.338,0,3.57639
257.421,0,0.609897
142.494,0,2.27379
3326.86,0,0.0417812
73211.2,0,0.00121566
122.335,0,2.73837
161.825,0,1.9589
119.22,0,3.1119
296.3,0,0.455619
450.598,0,0.284067
126.631,0,1.51621
158.475,0,1.73529
562.601,0,0.255954
143.28,0.318471,2.19151
152.933,0,1.92241
348.703,0,0.338397
128.598,0,1.50858
152.606,0.377358,1.7365
171.484,0,1.7261
161.653,0,1.37331
115.427,0,4.09784
542.669,0.628931,0.292996
116.247,0,2.34844
678.606,0,0.222515
144.693,0,1.3615
162.47,0,0.978642
501.668,0,0.444517
186.856,0,1.24695
124.302,0,3.13752
225.507,0,0.75829
131.996,0,2.68947
570.645,0,0.257603
236.659,0,0.595795
201.464,0,1.13668
183.349,0,1.03628
429.753,0,0.43048
126.817,0,3.58784
524.025,0,0.488527
128.388,0,2.83515
245.701,0,0.630847
115.849,0,2.71042
109.483,0,3.54392
109.6,0,3.56752
140.318,0.352113,2.02398
135.745,0,1.66489
884.385,0,0.163956
118.836,0,2.5834
200.675,0,1.2458
146.041,0,1.99944
129.619,0,2.61535
483.071,0,0.306373
120.428,0,3.49587
131.557,0,2.71366
165.818,0,1.70066
125.852,0,3.61535
386.288,0,0.359835
167.475,0,1.01508
237.578,0,0.475633
476.636,0,0.469961
434.924,0,0.374778
89.8317,0,1.78111
229.251,0,0.841872
242.846,0,0.522966
127.386,0,3.35987
207.277,0,0.641655
489.134,0,0.228976
525.568,0,0.224519
123.938,0,2.35601
172.286,0,1.30597
111.576,0.242131,3.7015
111.118,0,2.33986
139.741,0,2.38298
161.007,0,1.45335
139.842,0,2.61009
156.155,0,1.55615
173.99,0,1.16099
145.322,0,1.9818
974.939,0,0.292326
219.401,0,0.628986
149.672,0.326797,2.04447
1493.83,0,0.0763138
144.729,0,1.07787
144.266,0,1.01895
161.431,0.813008,0.761937
119.227,0.367647,2.28136
499.257,0,0.248369
157.976,0,1.23437
173.779,0,1.23145
227.197,0,0.985928
123.075,0,2.17753
129.13,0,3.0357
120.14,0,3.35441
179.954,0,1.95605
136.224,0,2.22428
163.553,0,1.34513
475.375,0,0.36182
166.322,0,1.61133
123.101,0.307692,2.64011
655.072,0,0.140443
152.095,0,1.81465
407.422,0,0.375532
738.7,0,0.163801
644.663,0,0.150466
211.982,0,0.967064
189.114,0.389105,1.35897
142.063,0,2.24548
125.787,0.284091,2.79837
235.99,0.41841,1.01276
144.812,0,0.897716
183.721,0,0.69671
138.647,0,2.63259
110.499,0,3.63805
151.067,0,1.10547
186.478,0,1.7053
257.887,0,0.570018
721.6,0,0.260532
240.847,0,0.626955
197.745,0,0.991173
126.444,0,1.45519
154.239,0,2.21734
196.845,0,0.838221
151.822,0,1.58739
4997.33,0,0.0338181
133.756,0,1.72702
126.939,0,2.37909
150.634,0,1.87873
90.3163,0,3.72026
167.571,0,1.53964
527.629,0,0.204689
165.77,0,1.24268
125.95,0.2457,3.23143
128.257,0,2.99398
142.757,0,1.5691
368.396,0,0.241588
241.536,0,0.318792
110.238,0,3.24752
171.222,0,1.06295
176.536,0,1.09326
122.215,0,2.84744
129.857,0,2.8262
117.602,0,1.3095
149.385,0,1.54634
283.287,0.311526,1.13313
183.133,0,1.02112
225.822,0,0.779374
113.1,0,1.45889
134.453,0.263158,2.82626
124.68,0,2.54251
121.664,0,3.55077
153.714,0.490196,1.32714
287.238,0,0.56051
106.247,0,2.91772
112.814,0,3.7318
91.3942,0,3.38096
196.763,0,1.00121
140.261,0,0.777123
193.252,0,1.41266
229.745,0,0.687719
214.149,0,0.770491
116.509,0,2.69506
1498.39,0,0.078751
562.985,0,0.397879
162.325,0,0.819344
94.1745,0,4.37486
170.896,0,1.32829
137.909,0,1.92881
117.932,0,2.17922
137.089,0,1.38596
128.39,0,2.70271
145.533,0,1.87586
125.452,0,2.55078
158.913,0,1.85636
150.137,0,1.41205
145.075,0,1.93692
253.018,0,0.766744
94.1748,0,2.10247
160.861,0,1.47954
118.267,0.241546,3.50054
106.151,0,2.14787
212.472,0,0.833052
126.016,0,2.11085
273.319,0,0.676865
194.035,1.16279,0.44322
166.633,0,0.678137
