gen_time,drift_time,long_diffusion,trans_diffusion
0.0276474,2435.78,0.007077,0.012022
0.015519,3531.99,0.007076,0.011994
0.0341879,2033.5,0.007078,0.012033
0.00813263,2780.4,0.007077,0.012007
0.0104662,2930.17,0.007076,0.012003
0.017671,3531.99,0.007076,0.011994
0.0234266,2679.34,0.007077,0.012009
0.00421515,2679.34,0.007077,0.012009
0.0209595,2930.17,0.007076,0.012003
0.00448745,2679.34,0.007077,0.012009
0.00534367,2780.4,0.007077,0.012007
0.0289545,2435.78,0.007077,0.012022
0.0271673,2435.78,0.007077,0.012022
0.0218968,2930.17,0.007076,0.012003
0.021245,2930.17,0.007076,0.012003
0.0293413,2435.78,0.007077,0.012022
0.0123769,3068.89,0.007076,0.011999
0.0261562,2679.34,0.007077,0.012009
0.0265975,2435.78,0.007077,0.012022
0.0280864,2435.78,0.007077,0.012022
0.0340582,2033.5,0.007078,0.012033
0.0201127,2930.17,0.007076,0.012003
0.0347098,2033.5,0.007078,0.012033
0.00592665,2780.4,0.007077,0.012007
0.0308418,2224.65,0.007078,0.012027
0.00967977,2930.17,0.007076,0.012003
0.00690532,2780.4,0.007077,0.012007
0.000740622,2543.66,0.007077,0.012019
0.0194328,2930.17,0.007076,0.012003
0.0116381,2930.17,0.007076,0.012003
0.00453818,2679.34,0.007077,0.012009
0.00895463,2930.17,0.007076,0.012003
0.00650546,2330.71,0.007077,0.012009
0.0241606,2167.93,0.007077,0.012013
0.0172744,2918.04,0.007076,0.011994
0.0152716,2716.54,0.007076,0.011996
0.0103157,2438.84,0.007077,0.012008
0.0172518,2918.04,0.007076,0.011994
0.00600858,2330.71,0.007077,0.012009
0.0342256,1487.08,0.007078,0.012026
0.0138145,2716.54,0.007076,0.011996
0.0139901,2716.54,0.007076,0.011996
0.0305537,1858.03,0.007077,0.01202
0.0023092,2167.93,0.007077,0.012013
0.0212965,2438.84,0.007077,0.012008
0.0183682,2918.04,0.007076,0.011994
0.033905,1487.08,0.007078,0.012026
0.0338975,1487.08,0.007078,0.012026
0.0284389,1858.03,0.007077,0.01202
0.0084535,2330.71,0.007077,0.012009
0.0208825,2438.84,0.007077,0.012008
0.0047624,2167.93,0.007077,0.012013
0.0116122,2438.84,0.007077,0.012008
0.00983113,2438.84,0.007077,0.012008
0.00630846,2330.71,0.007077,0.012009
0.0123387,2438.84,0.007077,0.012008
0.00511872,2167.93,0.007077,0.012013
0.0268468,2167.93,0.007077,0.012013
0.00738677,2330.71,0.007077,0.012009
0.0204043,2438.84,0.007077,0.012008
0.021422,2438.84,0.007077,0.012008
0.0236299,2438.84,0.007077,0.012008
0.024746,2167.93,0.007077,0.012013
0.00335244,2167.93,0.007077,0.012013
0.0109646,2438.84,0.007077,0.012008
0.000384922,2013.3,0.007077,0.012016
0.0261611,2167.93,0.007077,0.012013
0.0107754,2438.84,0.007077,0.012008
0.0167913,2918.04,0.007076,0.011994
0.0319207,1657.28,0.007078,0.012026
0.005864,2330.71,0.007077,0.012009
0.0337338,1487.08,0.007078,0.012026
0.0223945,2438.84,0.007077,0.012008
0.0153945,2716.54,0.007076,0.011996
0.000273478,2013.3,0.007077,0.012016
0.00661886,2330.71,0.007077,0.012009
0.00238213,2167.93,0.007077,0.012013
0.00332577,2167.93,0.007077,0.012013
0.017184,2918.04,0.007076,0.011994
0.0184569,2918.04,0.007076,0.011994
0.0337656,1487.08,0.007078,0.012026
0.00316418,2167.93,0.007077,0.012013
0.0131633,2716.54,0.007076,0.011996
0.00598284,2330.71,0.007077,0.012009
0.0147087,2716.54,0.007076,0.011996
0.00343273,2167.93,0.007077,0.012013
0.00358386,2167.93,0.007077,0.012013
0.0301224,1858.03,0.007077,0.01202
0.0230819,2438.84,0.007077,0.012008
0.0224189,2438.84,0.007077,0.012008
0.00373158,2167.93,0.007077,0.012013
0.0169979,2918.04,0.007076,0.011994
0.00698224,2330.71,0.007077,0.012009
0.025972,2167.93,0.007077,0.012013
0.000173887,2013.3,0.007077,0.012016
0.00129439,2013.3,0.007077,0.012016
0.0317358,1657.28,0.007078,0.012026
0.0295243,1858.03,0.007077,0.01202
0.0128361,2438.84,0.007077,0.012008
0.0104073,2438.84,0.007077,0.012008
0.00949856,2438.84,0.007077,0.012008
0.0325761,1657.28,0.007078,0.012026
0.0289492,1858.03,0.007077,0.01202
0.0312794,1657.28,0.007078,0.012026
0.0110502,2438.84,0.007077,0.012008
0.0097442,2438.84,0.007077,0.012008
0.0147689,2716.54,0.007076,0.011996
0.030977,1657.28,0.007078,0.012026
0.0311493,1657.28,0.007078,0.012026
0.0277095,1858.03,0.007077,0.01202
0.0187981,2918.04,0.007076,0.011994
0.00484056,2167.93,0.007077,0.012013
0.0267877,2167.93,0.007077,0.012013
0.0050091,2167.93,0.007077,0.012013
0.0282445,1858.03,0.007077,0.01202
0.0127257,2438.84,0.007077,0.012008
0.0137893,2716.54,0.007076,0.011996
0.00372544,2167.93,0.007077,0.012013
0.0296546,1858.03,0.007077,0.01202
0.0257768,2167.93,0.007077,0.012013
0.00785355,2330.71,0.007077,0.012009
0.0115685,2438.84,0.007077,0.012008
0.0325057,1657.28,0.007078,0.012026
0.0257466,2167.93,0.007077,0.012013
0.0265103,2167.93,0.007077,0.012013
0.0143158,2716.54,0.007076,0.011996
0.0312479,1657.28,0.007078,0.012026
0.0245465,2167.93,0.007077,0.012013
0.0307591,1858.03,0.007077,0.01202
0.0285838,1858.03,0.007077,0.01202
0.0104601,2438.84,0.007077,0.012008
0.0244877,2167.93,0.007077,0.012013
0.016605,2918.04,0.007076,0.011994
0.0138599,2716.54,0.007076,0.011996
0.0213224,2438.84,0.007077,0.012008
0.0153602,2716.54,0.007076,0.011996
0.0257645,2167.93,0.007077,0.012013
0.00603828,2330.71,0.007077,0.012009
0.00883782,2330.71,0.007077,0.012009
0.0275371,1858.03,0.007077,0.01202
0.0110931,2438.84,0.007077,0.012008
0.00512314,2167.93,0.007077,0.012013
0.034545,1297.74,0.007078,0.012034
0.000680877,2013.3,0.007077,0.012016
0.00302463,2167.93,0.007077,0.012013
3.75296e-05,2013.3,0.007077,0.012016
0.0254271,2167.93,0.007077,0.012013
0.00894159,2330.71,0.007077,0.012009
0.0269241,2435.78,0.007077,0.012022
0.030192,2224.65,0.007078,0.012027
0.0233684,2679.34,0.007077,0.012009
0.00780037,2474.68,0.007077,0.012011
0.0240371,2679.34,0.007077,0.012009
0.0186185,3531.99,0.007076,0.011994
0.00740504,2474.68,0.007077,0.012011
0.0262291,2435.78,0.007077,0.012022
0.0301155,2224.65,0.007078,0.012027
0.0337957,2033.5,0.007078,0.012033
0.0222664,2930.17,0.007076,0.012003
0.0189408,3531.99,0.007076,0.011994
0.0240056,2679.34,0.007077,0.012009
0.0280785,2435.78,0.007077,0.012022
0.0197693,2930.17,0.007076,0.012003
0.00253899,2325.72,0.007077,0.012014
0.03071,2224.65,0.007078,0.012027
0.0342097,2033.5,0.007078,0.012033
0.027392,2435.78,0.007077,0.012022
0.0115389,2660.2,0.007076,0.012
0.0195576,2930.17,0.007076,0.012003
0.0276098,2435.78,0.007077,0.012022
0.00880094,2660.2,0.007076,0.012
0.0108271,2660.2,0.007076,0.012
0.0216012,2930.17,0.007076,0.012003
0.00842768,2660.2,0.007076,0.012
0.0258151,2679.34,0.007077,0.012009
0.0110584,2660.2,0.007076,0.012
