============= Kalman Filter Processing ===========
Initializing GenFit field
>>> Track = 237, hits = 55, fitted = 1, converged = 1, chi2 = 110.016, ndf = 105, X2v = 1.04777
>>> Track = 238, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04785
>>> Track = 240, hits = 55, fitted = 1, converged = 1, chi2 = 110.022, ndf = 105, X2v = 1.04783
>>> Track = 241, hits = 29, fitted = 1, converged = 1, chi2 = 58.008, ndf = 53, X2v = 1.09449
>>> Track = 242, hits = 55, fitted = 1, converged = 1, chi2 = 110.032, ndf = 105, X2v = 1.04793
>>> Track = 243, hits = 55, fitted = 1, converged = 1, chi2 = 110.028, ndf = 105, X2v = 1.04789
>>> Track = 244, hits = 55, fitted = 1, converged = 1, chi2 = 110.027, ndf = 105, X2v = 1.04788
>>> Track = 245, hits = 42, fitted = 1, converged = 1, chi2 = 84.0117, ndf = 79, X2v = 1.06344
>>> Track = 247, hits = 55, fitted = 1, converged = 1, chi2 = 110.019, ndf = 105, X2v = 1.0478
>>> Track = 248, hits = 9, fitted = 1, converged = 1, chi2 = 18.0009, ndf = 13, X2v = 1.38468
>>> Track = 249, hits = 15, fitted = 1, converged = 1, chi2 = 30.0023, ndf = 25, X2v = 1.20009
>>> Track = 250, hits = 55, fitted = 1, converged = 1, chi2 = 110.029, ndf = 105, X2v = 1.04789
>>> Track = 251, hits = 55, fitted = 1, converged = 1, chi2 = 110.016, ndf = 105, X2v = 1.04777
>>> Track = 252, hits = 27, fitted = 1, converged = 1, chi2 = 54.0049, ndf = 49, X2v = 1.10214
>>> Track = 253, hits = 46, fitted = 1, converged = 1, chi2 = 92.012, ndf = 87, X2v = 1.05761
>>> Track = 254, hits = 55, fitted = 1, converged = 1, chi2 = 110.019, ndf = 105, X2v = 1.0478
>>> Track = 255, hits = 55, fitted = 1, converged = 1, chi2 = 110.016, ndf = 105, X2v = 1.04777
>>> Track = 256, hits = 55, fitted = 1, converged = 1, chi2 = 110.023, ndf = 105, X2v = 1.04784
>>> Track = 257, hits = 55, fitted = 1, converged = 1, chi2 = 110.027, ndf = 105, X2v = 1.04787
>>> Track = 259, hits = 32, fitted = 1, converged = 1, chi2 = 64.0065, ndf = 59, X2v = 1.08486
>>> Track = 260, hits = 55, fitted = 1, converged = 1, chi2 = 110.02, ndf = 105, X2v = 1.04781
>>> Track = 261, hits = 55, fitted = 1, converged = 1, chi2 = 110.018, ndf = 105, X2v = 1.04779
>>> Track = 262, hits = 46, fitted = 1, converged = 1, chi2 = 92.012, ndf = 87, X2v = 1.05761
